msg_received_datetime,msg_published_datetime,sensor_id,sensor_val
2023-05-10 17:46:04,2023-05-10 17:46:01.233,3,0.232571
2023-05-10 17:46:04,2023-05-10 17:46:01.333,3,0.233216
2023-05-10 17:46:04,2023-05-10 17:46:01.433,3,0.232249
2023-05-10 17:46:04,2023-05-10 17:46:01.533,3,0.227575
2023-05-10 17:46:04,2023-05-10 17:46:01.633,3,0.228703
2023-05-10 17:46:04,2023-05-10 17:46:01.733,3,0.226769
2023-05-10 17:46:04,2023-05-10 17:46:01.833,3,0.226769
2023-05-10 17:46:04,2023-05-10 17:46:01.933,3,0.227092
2023-05-10 17:46:04,2023-05-10 17:46:02.033,3,0.226286
2023-05-10 17:46:04,2023-05-10 17:46:02.133,3,0.225319
2023-05-10 17:46:04,2023-05-10 17:46:02.233,3,0.225480
2023-05-10 17:46:04,2023-05-10 17:46:02.333,3,0.225480
2023-05-10 17:46:04,2023-05-10 17:46:02.433,3,0.224835
2023-05-10 17:46:04,2023-05-10 17:46:02.533,3,0.224190
2023-05-10 17:46:04,2023-05-10 17:46:02.633,3,0.224835
2023-05-10 17:46:04,2023-05-10 17:46:02.733,3,0.222418
2023-05-10 17:46:04,2023-05-10 17:46:02.833,3,0.224513
2023-05-10 17:46:05,2023-05-10 17:46:02.933,3,0.221934
2023-05-10 17:46:05,2023-05-10 17:46:03.033,3,0.222579
2023-05-10 17:46:05,2023-05-10 17:46:03.133,3,0.223546
2023-05-10 17:46:05,2023-05-10 17:46:03.233,3,0.220484
2023-05-10 17:46:05,2023-05-10 17:46:02.417,7,2.230784
2023-05-10 17:46:05,2023-05-10 17:46:02.517,7,2.239810
2023-05-10 17:46:05,2023-05-10 17:46:02.617,7,2.246256
2023-05-10 17:46:05,2023-05-10 17:46:02.717,7,2.257377
2023-05-10 17:46:05,2023-05-10 17:46:02.817,7,2.268498
2023-05-10 17:46:05,2023-05-10 17:46:02.917,7,2.271238
2023-05-10 17:46:05,2023-05-10 17:46:03.017,7,2.280586
2023-05-10 17:46:05,2023-05-10 17:46:02.961,8,0.157304
2023-05-10 17:46:05,2023-05-10 17:46:03.117,7,2.290095
2023-05-10 17:46:05,2023-05-10 17:46:03.061,8,0.159399
2023-05-10 17:46:05,2023-05-10 17:46:02.471,2,0.178095
2023-05-10 17:46:05,2023-05-10 17:46:03.217,7,2.297509
2023-05-10 17:46:05,2023-05-10 17:46:03.161,8,0.159722
2023-05-10 17:46:05,2023-05-10 17:46:02.571,2,0.205656
2023-05-10 17:46:06,2023-05-10 17:46:02.454,9,1.463443
