msg_received_datetime,msg_published_datetime,sensor_id,sensor_val
2023-05-10 18:03:51,2023-05-10 18:03:49.953,9,1.873949
2023-05-10 18:03:51,2023-05-10 18:03:50.053,9,1.886037
2023-05-10 18:03:51,2023-05-10 18:03:50.153,9,1.879106
2023-05-10 18:03:51,2023-05-10 18:03:50.253,9,1.903927
2023-05-10 18:03:51,2023-05-10 18:03:50.353,9,1.975971
2023-05-10 18:03:51,2023-05-10 18:03:50.453,9,1.964850
2023-05-10 18:03:51,2023-05-10 18:03:50.553,9,1.955018
2023-05-10 18:03:51,2023-05-10 18:03:50.653,9,1.891516
2023-05-10 18:03:51,2023-05-10 18:03:50.753,9,1.857670
2023-05-10 18:03:51,2023-05-10 18:03:50.853,9,1.865568
2023-05-10 18:03:51,2023-05-10 18:03:50.953,9,1.889421
2023-05-10 18:03:51,2023-05-10 18:03:51.053,9,1.912791
2023-05-10 18:03:51,2023-05-10 18:03:51.153,9,1.911824
2023-05-10 18:03:52,2023-05-10 18:03:49.636,7,2.208542
2023-05-10 18:03:52,2023-05-10 18:03:49.736,7,2.233202
2023-05-10 18:03:52,2023-05-10 18:03:49.836,7,2.258505
2023-05-10 18:03:52,2023-05-10 18:03:49.437,6,2.171634
2023-05-10 18:03:52,2023-05-10 18:03:49.936,7,2.271722
2023-05-10 18:03:52,2023-05-10 18:03:49.537,6,2.174374
2023-05-10 18:03:52,2023-05-10 18:03:50.036,7,2.288967
2023-05-10 18:03:52,2023-05-10 18:03:49.637,6,2.188073
2023-05-10 18:03:52,2023-05-10 18:03:50.136,7,2.314754
2023-05-10 18:03:52,2023-05-10 18:03:49.737,6,2.207897
2023-05-10 18:03:52,2023-05-10 18:03:50.236,7,2.392923
2023-05-10 18:03:52,2023-05-10 18:03:49.837,6,2.212088
2023-05-10 18:03:52,2023-05-10 18:03:50.336,7,2.366007
2023-05-10 18:03:52,2023-05-10 18:03:49.937,6,2.223531
2023-05-10 18:03:52,2023-05-10 18:03:50.436,7,2.388571
2023-05-10 18:03:52,2023-05-10 18:03:50.037,6,2.236103
2023-05-10 18:03:52,2023-05-10 18:03:50.536,7,2.411780
2023-05-10 18:03:52,2023-05-10 18:03:50.137,6,2.247546
2023-05-10 18:03:53,2023-05-10 18:03:50.636,7,2.437084
2023-05-10 18:03:53,2023-05-10 18:03:50.237,6,2.263179
2023-05-10 18:03:53,2023-05-10 18:03:50.736,7,2.461099
2023-05-10 18:03:53,2023-05-10 18:03:50.337,6,2.270271
2023-05-10 18:03:53,2023-05-10 18:03:50.836,7,2.499941
2023-05-10 18:03:53,2023-05-10 18:03:50.437,6,2.279941
2023-05-10 18:03:53,2023-05-10 18:03:50.936,7,2.511707
2023-05-10 18:03:53,2023-05-10 18:03:50.537,6,2.285905
2023-05-10 18:03:53,2023-05-10 18:03:51.036,7,2.534432
2023-05-10 18:03:53,2023-05-10 18:03:50.637,6,2.293319
2023-05-10 18:03:53,2023-05-10 18:03:51.136,7,2.550872
2023-05-10 18:03:53,2023-05-10 18:03:50.737,6,2.296542
2023-05-10 18:03:53,2023-05-10 18:03:50.837,6,2.297187
2023-05-10 18:03:53,2023-05-10 18:03:50.937,6,2.291868
2023-05-10 18:03:53,2023-05-10 18:03:51.127,8,0.169714
2023-05-10 18:03:53,2023-05-10 18:03:51.227,8,0.172777
2023-05-10 18:03:53,2023-05-10 18:03:51.327,8,0.172777
2023-05-10 18:03:53,2023-05-10 18:03:51.427,8,0.177451
2023-05-10 18:03:53,2023-05-10 18:03:50.771,4,2.298799
2023-05-10 18:03:53,2023-05-10 18:03:50.871,4,2.321040
2023-05-10 18:03:53,2023-05-10 18:03:50.971,4,2.301538
2023-05-10 18:03:53,2023-05-10 18:03:51.072,4,2.233040
2023-05-10 18:03:53,2023-05-10 18:03:51.094,2,0.172132
2023-05-10 18:03:53,2023-05-10 18:03:51.194,2,0.204850
2023-05-10 18:03:53,2023-05-10 18:03:51.294,2,0.208718
2023-05-10 18:03:54,2023-05-10 18:03:51.394,2,0.216293
2023-05-10 18:03:54,2023-05-10 18:03:49.779,3,0.278505
2023-05-10 18:03:54,2023-05-10 18:03:49.879,3,0.238051
2023-05-10 18:03:54,2023-05-10 18:03:49.979,3,0.234183
2023-05-10 18:03:54,2023-05-10 18:03:50.079,3,0.236762
2023-05-10 18:03:54,2023-05-10 18:03:50.695,5,0.139414
2023-05-10 18:03:54,2023-05-10 18:03:50.795,5,0.139897
2023-05-10 18:03:54,2023-05-10 18:03:50.895,5,0.141993
2023-05-10 18:03:54,2023-05-10 18:03:50.995,5,0.141832
2023-05-10 18:03:54,2023-05-10 18:03:51.095,5,0.141026
2023-05-10 18:03:54,2023-05-10 18:03:51.195,5,0.144410
2023-05-10 18:03:54,2023-05-10 18:03:51.295,5,0.142799
2023-05-10 18:03:54,2023-05-10 18:03:51.395,5,0.142637
2023-05-10 18:03:54,2023-05-10 18:03:51.495,5,0.144088
2023-05-10 18:03:54,2023-05-10 18:03:51.595,5,0.144571
2023-05-10 18:03:54,2023-05-10 18:03:51.695,5,0.144894
2023-05-10 18:03:54,2023-05-10 18:03:51.795,5,0.146344
2023-05-10 18:03:54,2023-05-10 18:03:51.895,5,0.146183
2023-05-10 18:03:54,2023-05-10 18:03:51.995,5,0.148601
2023-05-10 18:03:55,2023-05-10 18:03:52.095,5,0.146506
2023-05-10 18:03:55,2023-05-10 18:03:52.195,5,0.149729
2023-05-10 18:03:55,2023-05-10 18:03:52.295,5,0.150535
2023-05-10 18:03:55,2023-05-10 18:03:52.395,5,0.154403
2023-05-10 18:03:55,2023-05-10 18:03:51.253,9,1.866535
2023-05-10 18:03:55,2023-05-10 18:03:51.353,9,1.847678
2023-05-10 18:03:55,2023-05-10 18:03:51.453,9,1.816088
2023-05-10 18:03:55,2023-05-10 18:03:51.553,9,1.878461
2023-05-10 18:03:55,2023-05-10 18:03:51.653,9,1.846388
2023-05-10 18:03:55,2023-05-10 18:03:51.753,9,1.839619
2023-05-10 18:03:55,2023-05-10 18:03:51.853,9,1.819795
2023-05-10 18:03:55,2023-05-10 18:03:51.953,9,1.825919
2023-05-10 18:03:55,2023-05-10 18:03:52.053,9,1.841392
2023-05-10 18:03:55,2023-05-10 18:03:52.153,9,1.838169
2023-05-10 18:03:55,2023-05-10 18:03:52.253,9,1.846066
2023-05-10 18:03:55,2023-05-10 18:03:52.353,9,1.858637
2023-05-10 18:03:55,2023-05-10 18:03:52.453,9,1.873626
2023-05-10 18:03:55,2023-05-10 18:03:52.553,9,1.962755
2023-05-10 18:03:55,2023-05-10 18:03:52.653,9,1.912791
2023-05-10 18:03:55,2023-05-10 18:03:52.753,9,1.932777
2023-05-10 18:03:55,2023-05-10 18:03:52.853,9,1.949861
2023-05-10 18:03:55,2023-05-10 18:03:50.924,1,2.151648
2023-05-10 18:03:55,2023-05-10 18:03:51.025,1,2.157128
2023-05-10 18:03:55,2023-05-10 18:03:51.124,1,2.186461
2023-05-10 18:03:56,2023-05-10 18:03:51.224,1,2.187590
2023-05-10 18:03:56,2023-05-10 18:03:51.324,1,2.202257
2023-05-10 18:03:56,2023-05-10 18:03:51.424,1,2.223209
2023-05-10 18:03:56,2023-05-10 18:03:51.524,1,2.233040
2023-05-10 18:03:56,2023-05-10 18:03:51.624,1,2.245612
2023-05-10 18:03:56,2023-05-10 18:03:51.724,1,2.260762
2023-05-10 18:03:56,2023-05-10 18:03:51.824,1,2.275428
2023-05-10 18:03:56,2023-05-10 18:03:51.924,1,2.299927
2023-05-10 18:03:56,2023-05-10 18:03:52.025,1,2.305729
2023-05-10 18:03:56,2023-05-10 18:03:52.124,1,2.305084
2023-05-10 18:03:56,2023-05-10 18:03:52.224,1,2.330227
2023-05-10 18:03:56,2023-05-10 18:03:52.324,1,2.342638
2023-05-10 18:03:56,2023-05-10 18:03:52.424,1,2.356176
2023-05-10 18:03:56,2023-05-10 18:03:52.524,1,2.363106
2023-05-10 18:03:56,2023-05-10 18:03:52.624,1,2.372777
2023-05-10 18:03:56,2023-05-10 18:03:52.724,1,2.382930
2023-05-10 18:03:56,2023-05-10 18:03:51.236,7,2.631135
2023-05-10 18:03:56,2023-05-10 18:03:51.336,7,2.596967
2023-05-10 18:03:56,2023-05-10 18:03:51.436,7,2.613729
2023-05-10 18:03:56,2023-05-10 18:03:51.536,7,2.636454
2023-05-10 18:03:56,2023-05-10 18:03:51.636,7,2.653538
2023-05-10 18:03:56,2023-05-10 18:03:51.736,7,2.661758
2023-05-10 18:03:57,2023-05-10 18:03:51.836,7,2.692059
2023-05-10 18:03:57,2023-05-10 18:03:51.936,7,2.695766
2023-05-10 18:03:57,2023-05-10 18:03:52.036,7,2.715590
2023-05-10 18:03:57,2023-05-10 18:03:52.136,7,2.728967
2023-05-10 18:03:57,2023-05-10 18:03:52.236,7,2.776513
2023-05-10 18:03:57,2023-05-10 18:03:52.336,7,2.754916
2023-05-10 18:03:57,2023-05-10 18:03:52.436,7,2.759268
2023-05-10 18:03:57,2023-05-10 18:03:52.536,7,2.769905
2023-05-10 18:03:57,2023-05-10 18:03:52.636,7,2.777802
2023-05-10 18:03:57,2023-05-10 18:03:52.736,7,2.785216
2023-05-10 18:03:57,2023-05-10 18:03:51.037,6,2.287033
2023-05-10 18:03:57,2023-05-10 18:03:51.137,6,2.199355
2023-05-10 18:03:57,2023-05-10 18:03:51.237,6,2.257377
2023-05-10 18:03:57,2023-05-10 18:03:51.337,6,2.228366
2023-05-10 18:03:57,2023-05-10 18:03:51.437,6,2.216439
2023-05-10 18:03:57,2023-05-10 18:03:51.537,6,2.202901
2023-05-10 18:03:57,2023-05-10 18:03:51.637,6,2.195810
2023-05-10 18:03:57,2023-05-10 18:03:51.737,6,2.188073
2023-05-10 18:03:57,2023-05-10 18:03:51.837,6,2.171150
2023-05-10 18:03:58,2023-05-10 18:03:51.937,6,2.149070
2023-05-10 18:03:58,2023-05-10 18:03:52.037,6,2.120542
2023-05-10 18:03:58,2023-05-10 18:03:52.137,6,2.005465
2023-05-10 18:03:58,2023-05-10 18:03:52.237,6,1.884908
2023-05-10 18:03:58,2023-05-10 18:03:52.337,6,1.823663
2023-05-10 18:03:58,2023-05-10 18:03:52.437,6,1.754198
2023-05-10 18:03:58,2023-05-10 18:03:52.537,6,1.722769
2023-05-10 18:03:58,2023-05-10 18:03:52.637,6,1.691018
2023-05-10 18:03:58,2023-05-10 18:03:50.179,3,0.235634
2023-05-10 18:03:58,2023-05-10 18:03:50.279,3,0.239179
2023-05-10 18:03:58,2023-05-10 18:03:50.379,3,0.242403
2023-05-10 18:03:58,2023-05-10 18:03:50.479,3,0.244659
2023-05-10 18:03:58,2023-05-10 18:03:50.579,3,0.243692
2023-05-10 18:03:58,2023-05-10 18:03:50.679,3,0.248366
2023-05-10 18:03:58,2023-05-10 18:03:50.779,3,0.245949
2023-05-10 18:03:58,2023-05-10 18:03:50.879,3,0.246593
2023-05-10 18:03:58,2023-05-10 18:03:50.979,3,0.249011
2023-05-10 18:03:58,2023-05-10 18:03:51.079,3,0.248850
2023-05-10 18:03:59,2023-05-10 18:03:51.179,3,0.252879
2023-05-10 18:03:59,2023-05-10 18:03:51.279,3,0.256425
2023-05-10 18:03:59,2023-05-10 18:03:51.379,3,0.259326
2023-05-10 18:03:59,2023-05-10 18:03:51.479,3,0.265773
2023-05-10 18:03:59,2023-05-10 18:03:51.579,3,0.266418
