msg_received_datetime,msg_published_datetime,sensor_id,sensor_val
2023-05-10 17:57:34,2023-05-10 17:57:33.270,7,2.692059
2023-05-10 17:57:34,2023-05-10 17:57:33.370,7,2.687868
2023-05-10 17:57:34,2023-05-10 17:57:33.470,7,2.704147
2023-05-10 17:57:34,2023-05-10 17:57:33.570,7,2.717846
2023-05-10 17:57:34,2023-05-10 17:57:33.670,7,2.719297
2023-05-10 17:57:34,2023-05-10 17:57:33.053,2,0.216454
2023-05-10 17:57:35,2023-05-10 17:57:33.153,2,0.183897
2023-05-10 17:57:35,2023-05-10 17:57:33.286,4,3.300000
2023-05-10 17:57:35,2023-05-10 17:57:33.253,2,0.215648
2023-05-10 17:57:35,2023-05-10 17:57:33.386,4,3.300000
2023-05-10 17:57:35,2023-05-10 17:57:33.353,2,0.203722
2023-05-10 17:57:35,2023-05-10 17:57:33.486,4,3.300000
2023-05-10 17:57:35,2023-05-10 17:57:33.453,2,0.213070
2023-05-10 17:57:35,2023-05-10 17:57:33.586,4,3.300000
2023-05-10 17:57:35,2023-05-10 17:57:33.686,4,3.300000
2023-05-10 17:57:35,2023-05-10 17:57:33.960,9,1.730506
2023-05-10 17:57:35,2023-05-10 17:57:34.060,9,1.742755
2023-05-10 17:57:35,2023-05-10 17:57:34.160,9,1.764996
2023-05-10 17:57:35,2023-05-10 17:57:34.260,9,1.770154
2023-05-10 17:57:35,2023-05-10 17:57:34.158,5,0.151179
2023-05-10 17:57:35,2023-05-10 17:57:34.258,5,0.159560
2023-05-10 17:57:35,2023-05-10 17:57:33.051,8,0.165040
2023-05-10 17:57:35,2023-05-10 17:57:34.358,5,0.158755
2023-05-10 17:57:35,2023-05-10 17:57:33.151,8,0.163106
2023-05-10 17:57:36,2023-05-10 17:57:34.458,5,0.159238
2023-05-10 17:57:36,2023-05-10 17:57:33.251,8,0.165363
2023-05-10 17:57:36,2023-05-10 17:57:33.351,8,0.164879
2023-05-10 17:57:36,2023-05-10 17:57:33.451,8,0.167458
2023-05-10 17:57:36,2023-05-10 17:57:33.329,1,2.420967
2023-05-10 17:57:36,2023-05-10 17:57:33.429,1,2.387765
2023-05-10 17:57:36,2023-05-10 17:57:33.529,1,2.397436
2023-05-10 17:57:36,2023-05-10 17:57:33.629,1,2.404044
2023-05-10 17:57:36,2023-05-10 17:57:33.729,1,2.409524
2023-05-10 17:57:36,2023-05-10 17:57:33.553,2,0.182447
2023-05-10 17:57:36,2023-05-10 17:57:33.653,2,0.200337
2023-05-10 17:57:36,2023-05-10 17:57:33.753,2,0.205656
2023-05-10 17:57:36,2023-05-10 17:57:33.853,2,0.199209
2023-05-10 17:57:36,2023-05-10 17:57:33.953,2,0.182125
2023-05-10 17:57:36,2023-05-10 17:57:34.053,2,0.203238
2023-05-10 17:57:36,2023-05-10 17:57:33.787,4,3.300000
2023-05-10 17:57:36,2023-05-10 17:57:33.886,4,3.300000
2023-05-10 17:57:36,2023-05-10 17:57:33.986,4,3.300000
2023-05-10 17:57:36,2023-05-10 17:57:34.086,4,3.300000
2023-05-10 17:57:37,2023-05-10 17:57:34.186,4,3.300000
2023-05-10 17:57:37,2023-05-10 17:57:34.286,4,3.300000
2023-05-10 17:57:37,2023-05-10 17:57:33.770,7,2.729128
2023-05-10 17:57:37,2023-05-10 17:57:33.870,7,2.725099
2023-05-10 17:57:37,2023-05-10 17:57:33.970,7,2.736865
2023-05-10 17:57:37,2023-05-10 17:57:34.070,7,2.759590
2023-05-10 17:57:37,2023-05-10 17:57:34.170,7,2.761040
2023-05-10 17:57:37,2023-05-10 17:57:34.270,7,2.768132
2023-05-10 17:57:37,2023-05-10 17:57:34.360,9,1.784982
2023-05-10 17:57:37,2023-05-10 17:57:34.558,5,0.154725
2023-05-10 17:57:37,2023-05-10 17:57:34.461,9,1.795941
2023-05-10 17:57:37,2023-05-10 17:57:34.658,5,0.159238
2023-05-10 17:57:37,2023-05-10 17:57:34.560,9,1.789011
2023-05-10 17:57:37,2023-05-10 17:57:34.758,5,0.162300
2023-05-10 17:57:37,2023-05-10 17:57:34.660,9,1.829143
2023-05-10 17:57:37,2023-05-10 17:57:34.858,5,0.160527
2023-05-10 17:57:37,2023-05-10 17:57:34.760,9,1.835106
2023-05-10 17:57:37,2023-05-10 17:57:34.958,5,0.157304
2023-05-10 17:57:37,2023-05-10 17:57:33.077,6,1.787560
2023-05-10 17:57:37,2023-05-10 17:57:34.860,9,1.847194
2023-05-10 17:57:38,2023-05-10 17:57:35.058,5,0.164073
2023-05-10 17:57:38,2023-05-10 17:57:33.177,6,1.776601
2023-05-10 17:57:38,2023-05-10 17:57:33.277,6,1.777407
2023-05-10 17:57:38,2023-05-10 17:57:33.551,8,0.167941
2023-05-10 17:57:38,2023-05-10 17:57:33.377,6,1.775311
2023-05-10 17:57:38,2023-05-10 17:57:33.651,8,0.168103
2023-05-10 17:57:38,2023-05-10 17:57:33.477,6,1.764513
2023-05-10 17:57:38,2023-05-10 17:57:33.751,8,0.168264
2023-05-10 17:57:38,2023-05-10 17:57:33.577,6,1.757099
2023-05-10 17:57:38,2023-05-10 17:57:33.851,8,0.168908
2023-05-10 17:57:38,2023-05-10 17:57:33.677,6,1.750168
2023-05-10 17:57:38,2023-05-10 17:57:33.951,8,0.170359
2023-05-10 17:57:38,2023-05-10 17:57:33.777,6,1.739370
2023-05-10 17:57:38,2023-05-10 17:57:34.051,8,0.170681
2023-05-10 17:57:38,2023-05-10 17:57:33.877,6,1.733729
2023-05-10 17:57:38,2023-05-10 17:57:33.977,6,1.724059
2023-05-10 17:57:38,2023-05-10 17:57:33.829,1,2.418550
