mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127
505bc2d2e71b,1683712614.7212834,(41+48j),(439-253j),(208-628j),(-266-681j),(-756-400j),(-691+139j),(-547+590j),(-127+799j),(395+640j),(609+283j),(614-180j),(300-343j),(46-271j),(-43-133j),(29-8j),(173+6j),(262-204j),(125-367j),(-167-509j),(-435-337j),(-627-2j),(-427+262j),(-203+469j),(75+452j),(275+309j),(255+35j),(150-49j),(2-11j),(17+0j),(21+37j),(52+19j),(17+19j),(-2011+0j),(-14080-32640j),(128+0j),(-95-61j),(-22+61j),(-22+9j),(-909+316j),(-312+848j),(291+819j),(686+446j),(679-249j),(228-594j),(-327-501j),(-589+1j),(-443+453j),(140+603j),(609+473j),(813-101j),(546-678j),(-42-877j),(-622-669j),(-1053-135j),(-763+592j),(-238+874j),(369+778j),(642+350j),(721-61j),(404-437j),(-94-432j),(-299-174j),(-247+117j),(83+316j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712614.845404,(-2-70j),(-514-178j),(-762-72j),(-830+197j),(-813+525j),(-554+613j),(-449+835j),(-137+833j),(56+869j),(181+715j),(348+586j),(324+371j),(274+153j),(149+34j),(-13-42j),(-217+35j),(-402+139j),(-465+188j),(-472+480j),(-377+552j),(-266+748j),(-107+634j),(7+653j),(152+630j),(249+527j),(257+261j),(204+161j),(-15+3j),(-9+11j),(-36-10j),(-47-11j),(-11-15j),(-2011+0j),(-14080-32640j),(128+0j),(-91+65j),(15+67j),(-2+5j),(-955+222j),(-711+610j),(-477+843j),(-227+890j),(230+814j),(448+481j),(598+179j),(567-211j),(448-440j),(157-696j),(-99-774j),(-458-741j),(-768-604j),(-934-287j),(-1019+39j),(-1022+381j),(-758+697j),(-484+814j),(-212+940j),(-32+853j),(207+765j),(371+526j),(395+188j),(382-35j),(231-197j),(-75-310j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712614.9779253,(69-80j),(-187-468j),(-392-349j),(-416-104j),(-296+81j),(-128+146j),(16+126j),(86-7j),(71-157j),(-96-270j),(-322-266j),(-445-160j),(-458+82j),(-425+279j),(-296+488j),(-86+486j),(140+513j),(255+368j),(345+172j),(266+16j),(189-70j),(67-54j),(4-15j),(1+80j),(72+149j),(212+102j),(294+23j),(-14-1j),(52-5j),(60-29j),(36-26j),(15-9j),(-2011+0j),(-13824-32640j),(128+0j),(-22+49j),(29+15j),(-6-1j),(64+490j),(387+312j),(532+52j),(545-240j),(271-546j),(-107-586j),(-426-438j),(-620-83j),(-643+158j),(-422+483j),(-225+594j),(100+588j),(365+423j),(419+153j),(364-92j),(191-241j),(-50-227j),(-169-71j),(-233+99j),(-176+238j),(29+377j),(256+361j),(460+111j),(558-119j),(530-296j),(304-554j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712615.108082,(9+40j),(326-185j),(114-500j),(-382-495j),(-775-52j),(-513+424j),(-129+787j),(404+624j),(803+176j),(680-355j),(224-725j),(-201-581j),(-407-221j),(-323+64j),(-92+166j),(29-19j),(-70-161j),(-229-95j),(-391+197j),(-215+459j),(216+583j),(477+280j),(572-75j),(370-449j),-595j,(-344-291j),(-358+7j),(11+1j),(-20+12j),(-8+0j),(3-19j),(-20-9j),(-2011+0j),(-14080-32640j),(128+0j),(84+44j),(-11-53j),(9-2j),(674-650j),(-155-903j),(-794-544j),(-975+130j),(-415+809j),(319+619j),(696+141j),(419-501j),(-101-612j),(-534-183j),(-539+348j),(4+670j),(582+445j),(752-169j),(390-742j),(-335-933j),(-899-318j),(-849+363j),(-318+876j),(257+817j),(714+421j),(698-193j),(174-529j),(-231-436j),(-346-94j),(-125+252j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712615.2515857,(74-12j),(55-364j),(25-572j),(-64-659j),(-170-748j),(-188-678j),(-233-784j),(-267-717j),(-319-743j),(-224-682j),(-268-648j),(-169-534j),(-195-346j),(-114-227j),(-50-92j),(73+11j),(128+165j),(119+290j),(237+390j),(232+428j),(297+518j),(235+470j),(199+511j),(198+501j),(187+506j),(135+330j),(120+294j),(-9-1j),(-17+6j),(-13+5j),(-14-20j),(-3-27j),(-2011+0j),(-14080-32640j),(128+0j),(-89-50j),(-43+54j),(4-14j),(-148-958j),(-407-858j),(-531-826j),(-569-812j),(-703-599j),(-732-448j),(-673-181j),(-631+60j),(-578+149j),(-483+393j),(-445+462j),(-315+607j),(-198+800j),(-53+840j),(56+881j),(164+956j),(312+883j),(341+811j),(459+802j),(376+757j),(415+693j),(415+558j),(372+328j),(411+208j),(313+95j),(224-76j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712615.3828652,(-30+37j),(124+285j),(263+358j),(365+346j),(454+331j),(450+241j),(520+234j),(580+168j),(518+122j),(467+128j),(464+76j),(348+66j),(210-12j),(111-9j),(12-23j),(-42+6j),(-157+26j),(-265-3j),(-314+66j),(-348+66j),(-406+116j),(-358+116j),(-385+119j),(-370+116j),(-355+109j),(-242+101j),(-201+69j),(6+6j),(-14-8j),(-2-17j),(17+1j),(12+7j),(-2011+0j),(-14080-32640j),(128+0j),(48+52j),(49-23j),(-4+8j),(-84+661j),(119+635j),(255+613j),(280+587j),(421+417j),(457+277j),(456+119j),(444-76j),(429-145j),(312-329j),(311-376j),(197-484j),(59-594j),(-55-599j),(-162-597j),(-252-635j),(-360-533j),(-386-453j),(-476-391j),(-441-322j),(-438-266j),(-412-146j),(-332-28j),(-261+96j),(-197+113j),(-87+193j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712615.501875,(37-37j),(-151-330j),(-402-234j),(-483+31j),(-472+328j),(-169+427j),(52+521j),(318+410j),(424+191j),(411-38j),(316-248j),(119-255j),(-27-154j),(-63-37j),(3+77j),(104+138j),(259+64j),(302-85j),(267-295j),(98-393j),(-126-436j),(-235-283j),(-330-121j),(-307+43j),(-235+152j),(-58+165j),(24+101j),(12+3j),(3-1j),(-15-28j),(-40-20j),(-12-5j),(-2011+0j),(-13824-32640j),(128+0j),(-69-61j),(-24+40j),(-19+2j),(-693-250j),(-661+256j),(-400+555j),(-83+648j),(354+473j),(498+103j),(414-256j),(77-470j),(-217-440j),(-448-138j),(-540+136j),(-369+465j),(-18+614j),(339+516j),(571+257j),(722-100j),(475-460j),(166-593j),(-163-545j),(-377-366j),(-457-145j),(-384+117j),(-131+286j),(73+248j),(200+108j),(244-137j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712615.6315985,(-72-67j),(-470+21j),(-491+71j),(-408+94j),(-335+103j),(-175+124j),(-106+132j),(-14+130j),(95+115j),(159+82j),(275+69j),(352+72j),(417+0j),(444-23j),(501-34j),(450-15j),(483-48j),(398-43j),(379-70j),(286-57j),(217-55j),(110-34j),(4-34j),(-91-12j),(-174+5j),(-163+63j),(-226+93j),(6+1j),(-42-5j),(-59-14j),(-48-7j),(-8-7j),(-2011+0j),(-13568-32640j),(128+0j),(22+62j),(36-5j),(-6+2j),(-174+552j),(16+584j),(143+589j),(194+594j),(358+500j),(415+382j),(488+303j),(565+162j),(602+149j),(613-21j),(634+20j),(589-66j),(538-173j),(437-205j),(357-237j),(306-264j),(162-274j),(68-245j),(-73-270j),(-160-239j),(-230-232j),(-327-195j),(-367-114j),(-482-63j),(-512-105j),(-548-44j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712615.7624502,(-41-4j),(-147+198j),(-101+388j),(6+463j),(106+518j),(185+443j),(282+477j),(347+453j),(432+368j),(405+308j),(457+243j),(365+178j),(265+29j),(174-9j),(51-44j),(-24-13j),(-152-1j),(-269-2j),(-329+95j),(-354+126j),(-409+240j),(-344+212j),(-341+278j),(-309+315j),(-270+314j),(-154+246j),(-107+203j),(9-8j),(-13+1j),(-1-3j),(14-22j),(10-18j),(-2011+0j),(-13824-32640j),(128+0j),(-65-36j),(-33+32j),-12j,(-253-612j),(-460-479j),(-605-360j),(-649-274j),(-662-16j),(-556+110j),(-456+274j),(-276+405j),(-170+431j),(65+454j),(142+435j),(315+351j),(475+224j),(545+84j),(574-69j),(625-193j),(514-352j),(436-413j),(340-540j),(217-522j),(176-533j),(56-491j),(-71-380j),(-182-286j),(-202-196j),(-218-64j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712615.8816025,(-43-17j),(-154+251j),(70+374j),(327+305j),(546+66j),(417-216j),(279-472j),(-1-530j),(-311-447j),(-447-230j),(-494+69j),(-306+227j),(-94+224j),(20+141j),(25+15j),(-54-92j),(-221-44j),(-254+102j),(-232+323j),(-40+421j),(244+434j),(358+213j),(420+11j),(350-179j),(209-305j),(-3-251j),(-89-166j),(-3+7j),-6j,(18-3j),(33-24j),(14-16j),(-2011+0j),(-13824-32640j),(128+0j),(-58-36j),(-16+41j),(3+1j),(-687+98j),(-400+569j),(2+697j),(372+608j),(639+164j),(525-230j),(190-507j),(-224-446j),(-418-200j),(-373+171j),(-201+421j),(179+447j),(460+195j),(506-158j),(316-485j),(-26-677j),(-439-493j),(-605-154j),(-590+217j),(-347+396j),(-92+539j),(206+436j),(357+124j),(289-110j),(124-202j),(-127-192j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
